"","subjNum","rxnTime","responses","timedOut","noMemory","Scene.File","Category","CatNum","ImNum","Face.File","Condition","Version","Subject.Repetition"
"428","029",38662.5999999996,"an fancy indoor pool with blue decorative chairs and a white ceiling/room with windows",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_5.jpg","Baseline",3,3
"328","029",21734.7999999989,"a green swamp area with water and plants surrounding it, healthy green plants",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_6.jpg","Baseline",3,3
"528","029",34047,"the street in a big city, there were billboards and signs, one saying lion king and there was also a red bus",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_8.jpg","Baseline",3,3
"628","029",38918.6999999993,"a soccer game/stadium. There were several goals on the field and people, not that many people in the stands yet there were people with flags in the middle",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_9.jpg","Baseline",3,3
"128","029",34614.8000000007,"a ice skating rink, there were red helpers for those who could not ice skate well, looked like a hockey rink, there was a woman in yellow",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_13.jpg","Baseline",3,3
"329","030",141902.6,"An ice rink with kids skating. The ceiling of the ice rink is a dome with red lights on it. one of the kids is wearing a gray puffy jacket. ",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_3.jpg","Competitive",3,3
"429","030",100942.800000001,"A lot of kids skating on the indoor ice rink. At the far back wall there are triangle shaped flags attached on a string. ",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_5.jpg","Competitive",3,3
"229","030",100838.600000001,"Kids skating in an indoor ice rink. On the left side, there are a lot of empty orange chairs with the ice rink in front of them. The people who are skating are at the far left of the court and are wearing darker colored clothing. ",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_6.jpg","Competitive",3,3
"129","030",80215,"Adults ice skating with their kids. On the left front there is a woman wearing a gray jacket with an orange vest holding her daughters hand while on the ice. The other side has kids skating with parents and friends. ",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_8.jpg","Competitive",3,3
"529","030",77518.8000000007,"A family of 4 or 5 people skating in a very large ice rink. There is a lot of empty space and nobody else but these people. One of them is wearing a pink jacket while the other one is wearing a blue jacket. ",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_9.jpg","Competitive",3,3
"629","030",103231,"People ice skating in an indoor rink. There are dark brown bleachers on the back side of the rink. In the front of the ice skating rink there is 2 little kids skating, and one appears to be practicing a trick. ",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_13.jpg","Competitive",3,3
"430","031",54390.6999999993,"A vibrantly colored pond with multiple lily pads on the water. It was surrounded by grass and the sky was visible in the background. ",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_3.jpg","Baseline",4,3
"330","031",73190.6000000015,"a wide view of an indoor ice rink. On the left were two rows of bright orange seats. There were multiple people on the ice. ",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_5.jpg","Baseline",4,3
"630","031",59695.0999999996,"a library. It had warm, yellow lighting. There were tables with lamps on them. The walls were filled with books.",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_6.jpg","Baseline",4,3
"230","031",67078.6000000015,"a green sports field, with the top of the stadium seen. ",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_8.jpg","Baseline",4,3
"530","031",25078.8000000007,"a deep blue indoor pool. There were multiple windows in the room, and nice furniture. ",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_9.jpg","Baseline",4,3
"130","031",40574.6999999993,"a city. There was a road in the center, with a few cars. There were multiple tall buildings on the sides of the roads. ",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_13.jpg","Baseline",4,3
"331","032",79542.8000000007,"two cars driving in the street. There is a red light and a CVS pharmacy on the left side of the image. There also was a person carrying a red object on the cross walk on the left",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_3.jpg","Competitive",4,3
"431","032",62934.700000003,"a street sign with 3rd street. The traffic lights were yellow. there was a colorful sign on the right part of the screen that had directions of the streets",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_5.jpg","Competitive",4,3
"531","032",116926.699999999,"buildings that were mainly neutral colors like a light or dark grey. there was a taxi in the lane of the left side of the screen, a silver audi on the right lane that was partially out of the screen. there was a sign that said it was 48 degrees out in white lettering",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_6.jpg","Competitive",4,3
"131","032",61894.799999997,"a red bus stopped on the right side of the road. there was a sign on the left side that was advertising broadway, and on the right there was a sign that was advertising the lion king",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_8.jpg","Competitive",4,3
"631","032",85310.6999999993,"a red sidewalk on the left side. On the right there were people lined up at a bus stop waiting. Along the middle was a track to ride on, possibly meant for a train",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_9.jpg","Competitive",4,3
"231","032",84214.6999999993,"an open street with not a lot of traffic. a person was walking on the right sidewalk wearing yellow. there was a yellow cab in the right most lane near the person walking. The traffic lights were yellow. A building farther down the road on the right side was yellow as well.",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_13.jpg","Competitive",4,3
"232","033",30910.6000000015,"A pool with chairs on the right side and four plants across the pool",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_3.jpg","Baseline",5,3
"632","033",22470.6999999993,"An ice rink with a kid in the center wearing blue clothes and looking down",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_5.jpg","Baseline",5,3
"332","033",43350.799999997,"A city with taxis and cars, 48 degrees is displayed on one of the buildings and 2 people are crossing the cross walk on the left",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_6.jpg","Baseline",5,3
"132","033",41942.6999999993,"nature with yellow flowers in the foreground followed by a water source that has a reflection of the trees in the background",0,"false","fMRI Images/outdoor_14_25.jpg","Pond",14,25,"Face Stimuli/face_8.jpg","Baseline",5,3
"432","033",32966.8999999985,"a soccer stadium from the viewpoint of the top row of the stadium",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_9.jpg","Baseline",5,3
"532","033",28630.799999997,"A huge hall with orange all around it, there is a painting on the ceiling",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_13.jpg","Baseline",5,3
"333","034",85862.3999999985,"There was a big shadow on the soccer field caused by the clouds blocking sun and the background had some mountains",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_3.jpg","Competitive",5,3
"433","034",61966.6000000015,"the sky was a pretty blue, the picture was taken from very high up in the stadium, the middle logo on the field was red and the teams were lined up to the right of the logo in the image",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_5.jpg","Competitive",5,3
"533","034",71734.6999999993,"the fans were wearing pink, possibly the team color, stadium seats were pink and black, the image was taken directly behind the goal, not a lot of people in the stadium",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_6.jpg","Competitive",5,3
"133","034",44686.9000000022,"the players were in the middle of playing, the image was taken from right behind the goal and pretty high up in the seats. the teams were white and blue",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_8.jpg","Competitive",5,3
"633","034",89990.8000000007,"dark grays and black filled this image, there was a 'brew hall' writing on the far side of the picture, the overall feel of stadium was gloomy, teams wore white and black/dark grey, image taken from next to soccer goal",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_9.jpg","Competitive",5,3
"233","034",39502.9000000022,"there was a big arch at the top of the image as part of the stadium, it was night time",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_13.jpg","Competitive",5,3
"234","035",65598.8000000007,"A large blue pool with purple flowers, a ladder to get into the water, and bright colors. ",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_3.jpg","Baseline",6,3
"334","035",46326.6999999993,"New York City, there were taxis, black and red cars, a CVS, tall corporate buildings, and trees that lined the sidewalk.",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_5.jpg","Baseline",6,3
"634","035",34118.6999999993,"A football field like Autzen stadium, people in the crowd were wearing yellow ponchos, the sky was grey.",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_6.jpg","Baseline",6,3
"134","035",41071.3000000007,"A library with green lights, wooden ladders, soft lighting, long tables with chairs.",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_8.jpg","Baseline",6,3
"534","035",40846.9000000022,"An ice skating rink, children wearing mittens and warm hats, blurred image, people were moving in the photo. ",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_9.jpg","Baseline",6,3
"434","035",32366.8000000007,"A serene lake landscape, with lots of green, blue, and pine trees surrounding the body of water.",0,"false","fMRI Images/outdoor_14_26.jpg","Pond",14,26,"Face Stimuli/face_13.jpg","Baseline",6,3
"235","036",46758.5,"A calm lake, with a rock on the bottom right and a couple trees near the top.",0,"false","fMRI Images/outdoor_14_17.jpg","Pond",14,17,"Face Stimuli/face_3.jpg","Competitive",6,3
"635","036",34246.8000000045,"A lake surrounded partly by yellow flowers at the bottom and trees near the top.",0,"false","fMRI Images/outdoor_14_25.jpg","Pond",14,25,"Face Stimuli/face_5.jpg","Competitive",6,3
"435","036",70807,"A pond with long grass around it and covered with lily pads, as well as trees on the right.",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_6.jpg","Competitive",6,3
"335","036",54422.6999999955,"A lake with a rocky shore and a larger rock on the bottom right, with lush green vegetation at the top of the lake.",0,"false","fMRI Images/outdoor_14_18.jpg","Pond",14,18,"Face Stimuli/face_8.jpg","Competitive",6,3
"535","036",44742.8000000045,"A pond with cattails near the front and trees near the top reflecting onto the pond.",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_9.jpg","Competitive",6,3
"135","036",48735.1000000015,"A large lake with a flat rock on the bottom left, algae near the top as well as trees surrounding the lake.",0,"false","fMRI Images/outdoor_14_26.jpg","Pond",14,26,"Face Stimuli/face_13.jpg","Competitive",6,3
"236","037",235838.700000003,"a pool, pillars, and beige walls. 4/7 pillars numbered 7ft,8ft,8ft,7ft.",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_3.jpg","Baseline",1,4
"536","037",283606.100000001,"A two tiered library with wooden tables and chairs (there is a table with 4 chairs near the front of the picture). There is some decor on the corner with heart and a dog? There is a person on the second level. There are rows of bookcases visible in each level. There are 2 big, floor length windows in the back that lookout to trees.",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_5.jpg","Baseline",1,4
"436","037",245311,"a street. There are 3 signs hung up that say one way pointing right. There is a green sign that says 3rd St. There is a another sign, purple ish, that is a bot cut off on the picture at the lower right corner that says Main st. and information about a specific place. Down the sidewalk there are people walking. There is a bus further down the road, and a crosswalk near the bottom left.",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_6.jpg","Baseline",1,4
"336","037",193830.699999996,"a pond. There are 3 dead trees lining the pond. There is a piece of bark or a trunk of a tree in the bottom right corner of the picture. In the distance there is a building. The pond is surrounded by greenery and has bits of algae floating on top. There are also a few ducks in the pond.",0,"false","fMRI Images/outdoor_14_17.jpg","Pond",14,17,"Face Stimuli/face_8.jpg","Baseline",1,4
"636","037",170926.800000004,"a stadium full of people. The stadium is 3 tiered. There are 3 stadium lights visible, and ontop of that is a metal arch of some kind. In the bottom half of the picture there are 5 or 6 cameras pointing in every direction. The stadium is full of people. The field at the bottom of the stadium has a soccer goal but there is another type of game taking place other than soccer.",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_9.jpg","Baseline",1,4
"136","037",237150.799999997,"an ice rink. There are many people in this frame, some are in pairs, some aren't. There is someone stacking orange traffic cones on the right side. Above the rink are flags of different hockey teams? In the back there is a USA olympics sign/flag. In the left corner there is a older woman and a kid, the mom is wearing a peach colored jacket.",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_13.jpg","Baseline",1,4
"437","038",76286.6000000015,"\""Irregular shaped pool. Giant room with windows in background showing forest environment.\""",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_3.jpg","Competitive",1,4
"337","038",57862.700000003,"\""Big room with pool. Two pink chairs in corner along with two paintings of patterns hung up on the back wall.\""",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_5.jpg","Competitive",1,4
"537","038",63038.700000003,"\""Pool in what looks to be located in a mansion. Two circular blue chairs on either side of entry way and two high chairs on the side of the pool.\""",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_6.jpg","Competitive",1,4
"137","038",91142.8999999985,"\""Pool in a big room and seems to be for a community rather than a private one. There was picture hung with a list of rules. The back window shows palm trees and a beach which the room is overlooking.\""",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_8.jpg","Competitive",1,4
"637","038",53975,"\""A pool which looks like it is located in a hotel. There were 4 to 5 rectangular columns which had numbers labeling the depth of the pool.\""",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_9.jpg","Competitive",1,4
"237","038",83775,"\""Biggest room out of the images. Two trees at end of pool and a blue beam surrounding the lining of the ceiling. The roof is a clear glass and trees are visible. Looks like it is located in an aquatic center.\""",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_13.jpg","Competitive",1,4
"638","039",124638.200000003,"A city with a skyscraper in the front on the left, a small building in the front right and a dome in the background to the right",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_3.jpg","Baseline",2,4
"138","039",86110.3999999985,"A group of green trees in the background with a pond in the center with long grass growing around the pond",0,"false","fMRI Images/outdoor_14_18.jpg","Pond",14,18,"Face Stimuli/face_5.jpg","Baseline",2,4
"438","039",105742.700000003,"a soccer game between teams with the colors white and blue. there is a stadium around the field with a billboard in the top middle.",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_6.jpg","Baseline",2,4
"238","039",97558.8000000045,"a library two stories tall with a red guardrail on the second floor",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_8.jpg","Baseline",2,4
"338","039",77534.700000003,"a ice rink with people ice skating. there are two adults to the middle right and many smaller kids to the left",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_9.jpg","Baseline",2,4
"538","039",111847,"a pool with an indoor and outdoor section. The indoors has seats on both sides of the pool, a sign to the left and a lamp to the right. the indoor part is rectangular with the outdoor section ending the pool in a half circle shape",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_13.jpg","Baseline",2,4
"439","040",115132.700000003,"A library, There are two tables that are visible with four chairs. There is a second floor, and a curved brown wooden ceiling, lights that look like a snail shell (swirling). There are multiple book shelves. Part of the second floor is visible through a window",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_3.jpg","Competitive",2,4
"539","040",123382.100000001,"A library, and in the center of the picture there is a table with a divider. The lights were coming from the right side, there are multiple tables, and surrounded by a low book shelf with blue covered books of dvds. Around the white shelves, there are bigger brown book shelves. (Taller)\n",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_5.jpg","Competitive",2,4
"139","040",114766.899999999,"A library that has green carpet and has two floors. The second floor is hollow in the middle, allowing people in the second floor to easily see what is going on in first floor. Second floor only has shelves that are lined up, and on the first floor there are two rows of table each with a light stand on the table. Around the table are sculptures of faces, and on the pillars of the building, there are ladders just lined up. ",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_6.jpg","Competitive",2,4
"239","040",139638.600000001,"A library, also had a green carpet. I can remember a ladder, on the far side and a white fan on top of a table. There is a second floor to the library , also hollow allowing people on the second floor a whole view of first floor. There is a painting on the ceiling and one part of the ceiling looks like a dome. On the dome, there is a painting of this man levitating with red clothes/robe on",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_8.jpg","Competitive",2,4
"639","040",86518.799999997,"Two story library with a ceiling that looks like twix. (The shape) On the ceiling there is a painting reminding of renaissance or art in medieval Europe. Looks majestic like a palace and is surrounded by book shelves. ",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_9.jpg","Competitive",2,4
"339","040",105534.799999997,"A very bright light library. Has two floors also allowing to see what is going on in first floor. It has a red fencing on the second floor and there are desks on first floor in 433 formation (from left to right) with a circular table and comfortable chairs in the middle. The ceiling is blue and has two holes like the Pantheon that allows sunlight to come through.",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_13.jpg","Competitive",2,4
"340","041",43293.200000003,"a library with wooden chains,and books that all are outlined in blue tape. there are tables tha are also wooden",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_3.jpg","Baseline",3,4
"540","041",33078.700000003,"a city with cars on the road. there are billboards, one that says lionking. there is also a red double decor buss",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_5.jpg","Baseline",3,4
"640","041",32134.3999999985,"a pond with gree grass growing around the edges. the water is murky. there are some wheat plants",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_6.jpg","Baseline",3,4
"240","041",31966.8999999985,"a soccor stadium with flags that are white and black. it is dusk and there are lights from the stadium over head",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_8.jpg","Baseline",3,4
"440","041",39119,"an indoor pool with very blue water. there are blue chairs. the walls are white and there is natural light comming from the windows",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_9.jpg","Baseline",3,4
"140","041",53294.8999999985,"a ice hockey rink with children playing with sticks and pucks. there are goals that are blue and red",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_13.jpg","Baseline",3,4
"141","042",71062.299999997,"a few people on an ice rink, one kid has fallen over and there are two men standing next to each other. There are also a few cones set up.",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_3.jpg","Competitive",3,4
"441","042",57070.299999997,"An outdoor skating rink, all of the skaters are moving in the same direction and alot of them have red and white skates. There are also christmas trees.",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_5.jpg","Competitive",3,4
"241","042",50566.5,"the sidelines of a skating rink, there are a lot of orange chairs that are behind the protective glass. there are also a lot of skaters on the rink.",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_6.jpg","Competitive",3,4
"541","042",52183,"kids using red and blue stands to hold onto to help them learn how to skate.",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_8.jpg","Competitive",3,4
"341","042",46878.5,"a big group of people on the skating rink, one person is wearing a reebok shirt and there is an employee stacking cones.",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_9.jpg","Competitive",3,4
"641","042",53046.900000006,"cones in a straight line on a skating rink and a lot of kids. some of the kids skating through the cones but a lot on the sides, only a few adults.",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_13.jpg","Competitive",3,4
"342","043",73598.3000000119,"a pond filled with lily pads, three trees lined up in the horizon, the grass surrounding the pond is tall and goes from green to brown the further it gets from the pond.",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_3.jpg","Baseline",4,4
"142","043",60254.299999997,"A soccer stadium with a view of a lot of people, the grass was green with white lines, view was taken from next to a goal, score was 3 to 2",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_5.jpg","Baseline",4,4
"542","043",88534.700000003,"A hockey arena with red fold down chairs/bleachers, blue and white walls around the rink, players were on the rink but the bleachers were empty",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_6.jpg","Baseline",4,4
"242","043",91070.700000003,"A city view, street was mainly empty except for a person walking on the right side, a yellow taxi driving on the right side, a black car parked to the left side. The light on the right side was red and the light on the left was yellow. The buildings were tall and the street was E 54th",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_8.jpg","Baseline",4,4
"442","043",61198.5,"A library warm lighting. There was a picture painted into a dome ceiling. There were fans and lights on most of the tables. The books went all the way to the ceiling, there were ladders on the walls",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_9.jpg","Baseline",4,4
"642","043",105094.899999991,"An indoor pool, bright blue, the ceiling( rounded wood panel) reflected onto the pool as well as the 3 circular hanging lights. There were two chairs next to each other to make a couch on the left side of the screen. the outside was green and jungle looking/",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_13.jpg","Baseline",4,4
"343","044",96230.6000000089,"Sky had a yellow hue and there were wires for the trolleys. There were cones in the street protecting a sign. There was also a good amount of traffic.",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_3.jpg","Competitive",4,4
"543","044",63630.5,"The stoplight was yellow. There was a yellow crane behind the buildings in the background. In the foreground to the right there was a purple sign with a yellow hue to it. There were only a few cars and one bus in the distance.",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_5.jpg","Competitive",4,4
"243","044",47478.599999994,"Very cold and grey day. It was 48 degrees and there was heavy traffic on the street. Only a few pedestrians crossing.",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_6.jpg","Competitive",4,4
"143","044",45134.799999997,"Times Square New York. There was an ad for the lion king performance and a big red bus in the street. The scene looked very blue.",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_8.jpg","Competitive",4,4
"443","044",51454.799999997,"The street was very empty except for one man off to the right of the screen below the gray building. There were also a lot of American flags the lined the street in the distance.",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_9.jpg","Competitive",4,4
"643","044",71782.8999999911,"A white building to the left with a CVS below it. There was a gray car in the foreground and a man walking with a pole through the crosswalk. Traffic was pretty heavy.",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_13.jpg","Competitive",4,4
"544","045",36582.400000006,"A bright lit library with books and an orange tint.",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_3.jpg","Baseline",5,4
"444","045",55806.6000000089,"A vivid green field of long grass with yellow flowers.",0,"false","fMRI Images/outdoor_14_25.jpg","Pond",14,25,"Face Stimuli/face_5.jpg","Baseline",5,4
"644","045",30294.5,"An ice skating rink with children and adults skating around in coats.",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_6.jpg","Baseline",5,4
"244","045",51759,"A city with little to no color and sky rises everywhere and a sign that says it is 48 degrees outside.",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_8.jpg","Baseline",5,4
"344","045",29414.900000006,"A relaxing spa with a pool and some plants in the corners.",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_9.jpg","Baseline",5,4
"144","045",41502.900000006,"A packed football stadium with thousands of people and a blue sky. ",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_13.jpg","Baseline",5,4
"445","046",44206.599999994,"a feild that is in the shade from a view of the whole stadium that is oval shaped at the top of the stands",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_3.jpg","Competitive",5,4
"245","046",86966.5,"an image of a feild with blue and red colors and it is a view of the whole stadium from the top of the stands. the image is bright and the stadium looks oval shaped. There is an old man helping a young boy in the stands right below where the image was captured.  ",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_5.jpg","Competitive",5,4
"645","046",71087,"a field that looks very structured on the sides with boxes of blue and pink colors. The field is rectangle and the image is fairly clear. ",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_6.jpg","Competitive",5,4
"145","046",75406.700000003,"a stadium that has arches at the top that look lit up. Also, the stadium looks very large and full of people. ",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_8.jpg","Competitive",5,4
"545","046",36919.1999999881,"a rectangle field that looks very bright green. This image looked a little blurry but I could see players on the field. ",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_9.jpg","Competitive",5,4
"345","046",68702.700000003,"a stadium and there is a sign that says \""Brew Hall\"" and the numbers 3 and 20 on the score board. The image looks like it was taken from the ground level and the fans look like they are in white and black. ",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_13.jpg","Competitive",5,4
"246","047",43510.8000000119,"two story library, books on outer walls of both floors, tables on ground floor in rows with green lamps.",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_3.jpg","Baseline",6,4
"346","047",38766.400000006,"pool house, very blue pool with a table in the corner.",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_5.jpg","Baseline",6,4
"546","047",42079.200000003,"city street, car with california plates, cvs pharmacy on a corner, likely san francisco",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_6.jpg","Baseline",6,4
"446","047",40558.599999994,"ice skating rink, families with children skating, several skaters with pink socks or leg warmers.",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_8.jpg","Baseline",6,4
"146","047",23774.599999994,"outdoor scene, lots of grass, body of water, blue skies.",0,"false","fMRI Images/outdoor_14_26.jpg","Pond",14,26,"Face Stimuli/face_9.jpg","Baseline",6,4
"646","047",52679.1000000089,"stadium, likely football. had a nike swoosh on the sign with the score. fans were holding up signs.",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_13.jpg","Baseline",6,4
"147","048",87670.599999994,"colourful scene with orange and greenish vegetation sun has just set",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_3.jpg","Competitive",6,4
